geo_value,time_value,full_time_work_prop
nv,2019-12-25,0.023156503732071
ny,2019-12-25,0.027152331495933
oh,2019-12-25,0.024986643477318
ok,2019-12-25,0.032024740362648
or,2019-12-25,0.02426048033957
pa,2019-12-25,0.024591730548837
pr,2019-12-25,0.064714710329981
ri,2019-12-25,0.025304072981054
sc,2019-12-25,0.017752568003301
sd,2019-12-25,0.038951776846184
tn,2019-12-25,0.02287579484364
tx,2019-12-25,0.025735731505648
ut,2019-12-25,0.022318031373582
va,2019-12-25,0.021620965863992
vi,2019-12-25,0.060106786952626
vt,2019-12-25,0.032351609520286
wa,2019-12-25,0.022168593669022
wi,2019-12-25,0.035810945383449
wv,2019-12-25,0.027110629683187
wy,2019-12-25,0.031868610701417
ak,2019-12-26,0.043667659926306
al,2019-12-26,0.04559120737658
ar,2019-12-26,0.048927895634671
as,2019-12-26,0.12118992118992
az,2019-12-26,0.045286543043555
ca,2019-12-26,0.038203736970001
co,2019-12-26,0.050405316005416
ct,2019-12-26,0.049612486003787
dc,2019-12-26,0.04735253090185
de,2019-12-26,0.045858101380794
fl,2019-12-26,0.044141228414238
ga,2019-12-26,0.035873024739036
gu,2019-12-26,0.065323951012953
hi,2019-12-26,0.025339763976489
ia,2019-12-26,0.054206404186363
id,2019-12-26,0.041492994555749
il,2019-12-26,0.050775658757574
in,2019-12-26,0.040222329679023
ks,2019-12-26,0.049271144633022
ky,2019-12-26,0.039732661182182
la,2019-12-26,0.049479650549312
ma,2019-12-26,0.045167507680444
md,2019-12-26,0.04047210525816
me,2019-12-26,0.04571570816156
mi,2019-12-26,0.044328012605533
mn,2019-12-26,0.060191399007678
mo,2019-12-26,0.055747010794162
mp,2019-12-26,0.071252623010308
ms,2019-12-26,0.04842010171339
mt,2019-12-26,0.054066632626527
nc,2019-12-26,0.03273392627468
nd,2019-12-26,0.053420258878705
ne,2019-12-26,0.058610077650267
nh,2019-12-26,0.049557265798871
nj,2019-12-26,0.045146207521671
nm,2019-12-26,0.045736159508092
nv,2019-12-26,0.03929569303889
ny,2019-12-26,0.045828284879709
oh,2019-12-26,0.040046226306313
ok,2019-12-26,0.048512553679123
