geo_value,time_value,percent_covid_visits
fl,2020-02-09,0.001509
ga,2020-02-09,0.00108
hi,2020-02-09,0.006494
ia,2020-02-09,0.002217
id,2020-02-09,0.008207
il,2020-02-09,0.002767
in,2020-02-09,0.002256
ks,2020-02-09,0.00312
ky,2020-02-09,0.002308
la,2020-02-09,0.002669
ma,2020-02-09,0.001071
md,2020-02-09,0.00198
me,2020-02-09,0.003295
mi,2020-02-09,0.000853
mn,2020-02-09,0.002848
mo,2020-02-09,0.002764
ms,2020-02-09,0.003041
mt,2020-02-09,0.011831
nc,2020-02-09,0.001083
nd,2020-02-09,0.013368
ne,2020-02-09,0.005081
nh,2020-02-09,0.006952
nj,2020-02-09,0.001471
nm,2020-02-09,0.005574
nv,2020-02-09,0.003348
ny,2020-02-09,0.007019
oh,2020-02-09,0.001432
ok,2020-02-09,0.002153
or,2020-02-09,0.003023
pa,2020-02-09,0.000753
pr,2020-02-09,0.0062
ri,2020-02-09,0.005989
sc,2020-02-09,0.002201
sd,2020-02-09,0.007913
tn,2020-02-09,0.003407
tx,2020-02-09,0.00085
ut,2020-02-09,0.008845
va,2020-02-09,0.000937
vt,2020-02-09,0.015091
wa,2020-02-09,0.001184
wi,2020-02-09,0.002066
wv,2020-02-09,0.005145
wy,2020-02-09,0.024352
ak,2020-02-10,0.02897
al,2020-02-10,0.002437
ar,2020-02-10,0.004201
az,2020-02-10,0.001396
ca,2020-02-10,0.001242
co,2020-02-10,0.012677
ct,2020-02-10,0.003263
dc,2020-02-10,0.008433
de,2020-02-10,0.005124
fl,2020-02-10,0.00212
ga,2020-02-10,0.001255
hi,2020-02-10,0.008197
ia,2020-02-10,0.004702
id,2020-02-10,0.013258
il,2020-02-10,0.003201
in,2020-02-10,0.002608
ks,2020-02-10,0.003945
ky,2020-02-10,0.002579
la,2020-02-10,0.002781
ma,2020-02-10,0.001299
md,2020-02-10,0.002156
me,2020-02-10,0.004393
mi,2020-02-10,0.001023
mn,2020-02-10,0.003275
mo,2020-02-10,0.003184
ms,2020-02-10,0.00387
mt,2020-02-10,0.01435
nc,2020-02-10,0.001294
nd,2020-02-10,0.017745
