geo_value,time_value,fb_illness
tx,2020-04-12,0.8781469
ut,2020-04-12,1.7961434
va,2020-04-12,0.660806
vt,2020-04-12,0.7878486
wa,2020-04-12,0.7875567
wi,2020-04-12,0.8513695
wv,2020-04-12,0.6754293
wy,2020-04-12,0.988569
ak,2020-04-13,0.7302708
al,2020-04-13,0.737239
ar,2020-04-13,0.7864203
az,2020-04-13,1.0435083
ca,2020-04-13,0.5646718
co,2020-04-13,1.1045538
ct,2020-04-13,1.0967011
dc,2020-04-13,0.4410296
de,2020-04-13,0.8381932
fl,2020-04-13,0.6415737
ga,2020-04-13,0.5381619
hi,2020-04-13,0.3648642
ia,2020-04-13,1.0871523
id,2020-04-13,0.6655855
il,2020-04-13,0.8277906
in,2020-04-13,0.868444
ks,2020-04-13,0.8801432
ky,2020-04-13,0.9385852
la,2020-04-13,1.2404588
ma,2020-04-13,0.8142735
md,2020-04-13,0.5925513
me,2020-04-13,0.7079415
mi,2020-04-13,0.9766552
mn,2020-04-13,0.707476
mo,2020-04-13,0.8168899
ms,2020-04-13,0.8348794
mt,2020-04-13,0.7979049
nc,2020-04-13,0.603703
nd,2020-04-13,0.6105687
ne,2020-04-13,0.8480786
nh,2020-04-13,0.9386962
nj,2020-04-13,1.1065239
nm,2020-04-13,0.6221789
nv,2020-04-13,1.0764852
ny,2020-04-13,1.2832365
oh,2020-04-13,0.7075191
ok,2020-04-13,0.9850045
or,2020-04-13,0.8708153
pa,2020-04-13,0.7429538
ri,2020-04-13,0.8213156
sc,2020-04-13,0.7451446
sd,2020-04-13,0.7309972
tn,2020-04-13,0.7055628
tx,2020-04-13,0.8069433
ut,2020-04-13,1.7956899
va,2020-04-13,0.6095826
vt,2020-04-13,0.8432436
wa,2020-04-13,0.7572233
wi,2020-04-13,0.8079582
wv,2020-04-13,0.6128328
wy,2020-04-13,0.8116542
ak,2020-04-14,0.8184759
al,2020-04-14,0.7906818
ar,2020-04-14,0.8095089
az,2020-04-14,1.0981102
ca,2020-04-14,0.5781172
co,2020-04-14,1.1329308
ct,2020-04-14,1.158676
dc,2020-04-14,0.4295513
de,2020-04-14,0.9463286
fl,2020-04-14,0.6635842
ga,2020-04-14,0.5033569
hi,2020-04-14,0.289264
ia,2020-04-14,1.0665975
id,2020-04-14,0.6447606
il,2020-04-14,0.8241076
in,2020-04-14,0.8327651
ks,2020-04-14,0.825382
ky,2020-04-14,0.9443668
la,2020-04-14,1.1519754
ma,2020-04-14,0.8048209
md,2020-04-14,0.516965
me,2020-04-14,0.6252814
mi,2020-04-14,0.8973756
mn,2020-04-14,0.6818336
mo,2020-04-14,0.8030655
ms,2020-04-14,0.8550868
mt,2020-04-14,0.7743676
nc,2020-04-14,0.5757067
nd,2020-04-14,0.5084875
ne,2020-04-14,0.7688498
nh,2020-04-14,0.8659332
nj,2020-04-14,1.0138882
nm,2020-04-14,0.5463721
nv,2020-04-14,1.0485203
ny,2020-04-14,1.2235132
oh,2020-04-14,0.6713058
ok,2020-04-14,0.8886213
or,2020-04-14,0.8613509
pa,2020-04-14,0.7527418
ri,2020-04-14,0.8684568
sc,2020-04-14,0.7047916
sd,2020-04-14,0.6072518
tn,2020-04-14,0.7314482
tx,2020-04-14,0.8097961
ut,2020-04-14,1.778407
va,2020-04-14,0.5779305
vt,2020-04-14,0.876373
wa,2020-04-14,0.7404281
wi,2020-04-14,0.7490168
wv,2020-04-14,0.601413
wy,2020-04-14,0.9171349
ak,2020-04-15,0.6970428
al,2020-04-15,0.7620416
ar,2020-04-15,0.7220309
az,2020-04-15,1.018203
ca,2020-04-15,0.5490858
co,2020-04-15,1.0168217
ct,2020-04-15,1.1109238
dc,2020-04-15,0.4359201
de,2020-04-15,1.0006325
fl,2020-04-15,0.6417031
ga,2020-04-15,0.5160431
hi,2020-04-15,0.2331141
ia,2020-04-15,0.9802947
id,2020-04-15,0.7346444
il,2020-04-15,0.8119409
in,2020-04-15,0.7766302
ks,2020-04-15,0.763606
ky,2020-04-15,0.9286836
la,2020-04-15,1.1416706
ma,2020-04-15,0.7772275
md,2020-04-15,0.5254894
me,2020-04-15,0.5902233
mi,2020-04-15,0.9079858
mn,2020-04-15,0.7017623
mo,2020-04-15,0.8150376
ms,2020-04-15,0.8380051
mt,2020-04-15,0.7065069
nc,2020-04-15,0.5138524
nd,2020-04-15,0.5218776
ne,2020-04-15,0.7382217
