geo_value,time_value,covid_admissions
co,2020-02-07,0.052465
ct,2020-02-07,0.07151
dc,2020-02-07,0.104347
de,2020-02-07,0.185813
fl,2020-02-07,0.061494
ga,2020-02-07,0.051531
hi,2020-02-07,0.093956
ia,2020-02-07,0.085114
id,2020-02-07,0.141193
il,2020-02-07,0.054579
in,2020-02-07,0.066851
ks,2020-02-07,0.163599
ky,2020-02-07,0.727128
la,2020-02-07,0.084156
ma,2020-02-07,0.077709
md,2020-02-07,0.076312
me,2020-02-07,0.167346
mi,2020-02-07,0.082663
mn,2020-02-07,0.089951
mo,2020-02-07,0.100579
ms,2020-02-07,0.089629
nc,2020-02-07,0.12243
ne,2020-02-07,0.091985
nh,2020-02-07,0.092227
nj,2020-02-07,0.115001
nm,2020-02-07,0.13052
nv,2020-02-07,0.086986
ny,2020-02-07,0.043264
oh,2020-02-07,0.066159
ok,2020-02-07,0.070841
or,2020-02-07,0.088973
pa,2020-02-07,0.13922
ri,2020-02-07,0.094885
sc,2020-02-07,0.081989
sd,2020-02-07,0.37526
tn,2020-02-07,0.075263
tx,2020-02-07,0.028079
ut,2020-02-07,0.089911
va,2020-02-07,0.074087
vt,2020-02-07,0.180173
wa,2020-02-07,0.056992
wi,2020-02-07,0.078367
wv,2020-02-07,0.104068
wy,2020-02-07,0.317817
al,2020-02-08,0.062083
ar,2020-02-08,0.089832
az,2020-02-08,0.099587
ca,2020-02-08,0.069229
co,2020-02-08,0.0521
ct,2020-02-08,0.064102
dc,2020-02-08,0.109737
de,2020-02-08,0.199282
fl,2020-02-08,0.065926
ga,2020-02-08,0.053725
hi,2020-02-08,0.095266
ia,2020-02-08,0.084282
id,2020-02-08,0.142618
il,2020-02-08,0.084947
in,2020-02-08,0.068606
ks,2020-02-08,0.145368
ky,2020-02-08,0.693994
la,2020-02-08,0.132895
ma,2020-02-08,0.07548
md,2020-02-08,0.076655
me,2020-02-08,0.173695
mi,2020-02-08,0.084877
mn,2020-02-08,0.092571
mo,2020-02-08,0.099156
ms,2020-02-08,0.092531
nc,2020-02-08,0.108821
ne,2020-02-08,0.09393
nh,2020-02-08,0.091765
nj,2020-02-08,0.151003
nm,2020-02-08,0.169055
nv,2020-02-08,0.089176
ny,2020-02-08,0.051026
oh,2020-02-08,0.057332
ok,2020-02-08,0.070809
or,2020-02-08,0.086865
pa,2020-02-08,0.122905
ri,2020-02-08,0.095406
sc,2020-02-08,0.086754
sd,2020-02-08,0.372241
tn,2020-02-08,0.077795
tx,2020-02-08,0.034413
ut,2020-02-08,0.089266
va,2020-02-08,0.074743
vt,2020-02-08,0.184076
wa,2020-02-08,0.057225
wi,2020-02-08,0.081785
wv,2020-02-08,0.105981
wy,2020-02-08,0.321915
al,2020-02-09,0.066302
ar,2020-02-09,0.085215
az,2020-02-09,0.139295
ca,2020-02-09,0.067453
co,2020-02-09,0.053646
ct,2020-02-09,0.062265
dc,2020-02-09,0.115518
de,2020-02-09,0.215266
fl,2020-02-09,0.060952
ga,2020-02-09,0.058723
hi,2020-02-09,0.094286
ia,2020-02-09,0.085504
id,2020-02-09,0.145413
il,2020-02-09,0.088784
in,2020-02-09,0.072896
ks,2020-02-09,0.131974
ky,2020-02-09,0.639585
la,2020-02-09,0.147588
ma,2020-02-09,0.076486
md,2020-02-09,0.080467
me,2020-02-09,0.177948
mi,2020-02-09,0.079803
mn,2020-02-09,0.088896
mo,2020-02-09,0.1028
ms,2020-02-09,0.0864
nc,2020-02-09,0.102191
ne,2020-02-09,0.090482
nh,2020-02-09,0.092078
nj,2020-02-09,0.169907
nm,2020-02-09,0.205963
nv,2020-02-09,0.092583
ny,2020-02-09,0.047806
oh,2020-02-09,0.07645
ok,2020-02-09,0.072881
or,2020-02-09,0.087209
pa,2020-02-09,0.155325
ri,2020-02-09,0.096751
sc,2020-02-09,0.076511
sd,2020-02-09,0.372197
tn,2020-02-09,0.067162
tx,2020-02-09,0.032709
ut,2020-02-09,0.088118
va,2020-02-09,0.063566
vt,2020-02-09,0.19164
wa,2020-02-09,0.059304
wi,2020-02-09,0.070629
wv,2020-02-09,0.106854
wy,2020-02-09,0.338252
al,2020-02-10,0.073114
ar,2020-02-10,0.0838
az,2020-02-10,0.17971
ca,2020-02-10,0.065964
co,2020-02-10,0.057532
ct,2020-02-10,0.064233
dc,2020-02-10,0.124106
de,2020-02-10,0.229491
fl,2020-02-10,0.057543
ga,2020-02-10,0.065392
hi,2020-02-10,0.096667
ia,2020-02-10,0.088175
id,2020-02-10,0.149399
il,2020-02-10,0.092698
in,2020-02-10,0.070387
ks,2020-02-10,0.123362
ky,2020-02-10,0.55449
la,2020-02-10,0.129689
ma,2020-02-10,0.079755
md,2020-02-10,0.07671
me,2020-02-10,0.180344
mi,2020-02-10,0.078998
mn,2020-02-10,0.089207
mo,2020-02-10,0.087783
ms,2020-02-10,0.085011
nc,2020-02-10,0.093262
nd,2020-02-10,0.493228
ne,2020-02-10,0.090778
nh,2020-02-10,0.092865
nj,2020-02-10,0.216358
nm,2020-02-10,0.226508
nv,2020-02-10,0.089672
ny,2020-02-10,0.045492
oh,2020-02-10,0.100871
ok,2020-02-10,0.077299
or,2020-02-10,0.089572
pa,2020-02-10,0.147661
ri,2020-02-10,0.095643
sc,2020-02-10,0.073736
sd,2020-02-10,0.382305
tn,2020-02-10,0.064402
tx,2020-02-10,0.043554
ut,2020-02-10,0.088704
va,2020-02-10,0.059455
vt,2020-02-10,0.199433
wa,2020-02-10,0.063016
wi,2020-02-10,0.067937
wv,2020-02-10,0.107426
wy,2020-02-10,0.368483
al,2020-02-11,0.077207
ar,2020-02-11,0.081469
az,2020-02-11,0.200767
ca,2020-02-11,0.059196
co,2020-02-11,0.058585
ct,2020-02-11,0.063395
dc,2020-02-11,0.131166
de,2020-02-11,0.240056
fl,2020-02-11,0.047924
ga,2020-02-11,0.063966
hi,2020-02-11,0.099401
ia,2020-02-11,0.088623
id,2020-02-11,0.151899
il,2020-02-11,0.086608
in,2020-02-11,0.073693
ks,2020-02-11,0.113838
ky,2020-02-11,0.494815
la,2020-02-11,0.126599
ma,2020-02-11,0.082248
md,2020-02-11,0.08102
me,2020-02-11,0.1796
mi,2020-02-11,0.078101
mn,2020-02-11,0.090464
mo,2020-02-11,0.085693
ms,2020-02-11,0.082126
nc,2020-02-11,0.078616
nd,2020-02-11,0.478996
ne,2020-02-11,0.091526
nh,2020-02-11,0.092536
nj,2020-02-11,0.233588
nm,2020-02-11,0.243282
nv,2020-02-11,0.086942
ny,2020-02-11,0.039153
oh,2020-02-11,0.089449
ok,2020-02-11,0.080047
or,2020-02-11,0.086983
pa,2020-02-11,0.128776
ri,2020-02-11,0.095133
sc,2020-02-11,0.078039
sd,2020-02-11,0.395021
tn,2020-02-11,0.067028
tx,2020-02-11,0.031275
ut,2020-02-11,0.090449
va,2020-02-11,0.06152
vt,2020-02-11,0.206746
wa,2020-02-11,0.065744
wi,2020-02-11,0.073295
wv,2020-02-11,0.105435
wy,2020-02-11,0.399427
al,2020-02-12,0.076569
ar,2020-02-12,0.078262
az,2020-02-12,0.214488
ca,2020-02-12,0.053128
co,2020-02-12,0.05724
ct,2020-02-12,0.060869
dc,2020-02-12,0.136442
de,2020-02-12,0.256046
fl,2020-02-12,0.039052
ga,2020-02-12,0.09543
hi,2020-02-12,0.10374
ia,2020-02-12,0.087839
id,2020-02-12,0.156693
il,2020-02-12,0.081704
