geo_value,time_value,percent_covid_tests_positive_smoothed,covid_admissions,raw_search,percent_covid_visits,fb_illness,new_cases,full_time_work_prop,percent_home
al,2020-05-29,23.15789474,5.415825,11.504484841234,0.1619,0.574249,513,4.406160439560701,21.896835410776998
ar,2020-05-29,7.14285714,1.8831959999999999,0.0,0.138418,0.7088658,239,3.4495733314293,20.852335567817
ca,2020-05-29,12.28070175,1.63347,9.333859647719901,0.209371,0.3985341,2825,4.2483741949604,34.176518357373
ct,2020-05-29,4.83870968,7.041643,0.0,0.42058599999999996,0.37997470000000005,203,4.0012339703159,33.876201340975
fl,2020-05-29,5.81039755,2.219385,6.168082420936001,0.119986,0.4037084,1212,4.609029358358099,30.297523818896998
ga,2020-05-29,8.15677966,1.7157669999999998,25.564718553275,0.186461,0.47757700000000003,615,4.409175789884401,27.018792995585
ks,2020-05-29,12.8440367,1.333479,19.743950015331,0.10134,0.3787601,291,4.0145559761433,24.643881028002
ky,2020-05-29,4.02504472,0.936197,12.205620508952999,0.05954400000000001,0.406287,279,3.9318659791852992,24.693342130452002
la,2020-05-29,5.63380282,2.097673,0.0,0.168238,0.4665562,0,4.2067547081801,23.328062022313
ma,2020-05-29,6.08108108,8.196646000000001,33.688636827463,0.3073,0.4231264,537,3.6231558944544995,34.677760462939
md,2020-05-29,11.5942029,7.205286999999999,39.179189551169,0.474121,0.6620585999999999,1279,3.3929069974153,36.218923887390005
mi,2020-05-29,0.30030029999999996,2.1497610000000003,18.325802345853,0.145963,0.37908790000000003,572,3.5405715827922997,28.537735600145
ms,2020-05-29,3.33333333,3.194741,23.659508027911,0.28284899999999996,0.7230371,421,3.8917845278797008,21.264149371919
nj,2020-05-29,1.31578947,6.908658999999999,4.1950188393924,0.8972549999999999,0.5284566999999999,1659,3.2772369475413994,37.71757288748201
ny,2020-05-29,3.77358491,5.273921,15.503793052017,0.720299,0.437429,1551,3.6003354661317,38.324293851524
ok,2020-05-29,4.43213296,0.9124610000000001,0.0,0.073071,0.3937515,65,3.7181368533728,21.785039638965
ri,2020-05-29,1.38888889,2.171175,0.0,0.23905500000000002,0.5001531,141,3.7252147147907007,32.35375887695201
tx,2020-05-29,5.42704626,2.790892,12.666592175552001,0.216129,0.41987579999999997,545,3.4954972786681,25.920117820398005
al,2020-05-30,25.97402597,5.685208,38.155420799324006,0.164257,0.5572904000000001,427,2.2973430359347997,23.684523967009
ar,2020-05-30,8.21917808,2.030986,0.0,0.138578,0.8047738,236,1.9934964015288998,23.234762326438002
ca,2020-05-30,11.47540984,1.545795,8.8757807054117,0.216468,0.3603176,3257,2.8583341801362008,34.450845156438994
ct,2020-05-30,5.48523207,6.238451,0.0,0.41707700000000003,0.42956759999999994,260,2.3739975139146,30.222344319371995
fl,2020-05-30,5.95854922,2.25327,9.133527714488599,0.122799,0.4096295999999999,927,2.1201352570153,31.866436739844
ga,2020-05-30,8.04387569,1.562677,21.350443285236,0.20594899999999997,0.5153098,450,2.2944818623398,27.051525740473004
ks,2020-05-30,13.42281879,1.379877,45.440562099775,0.099851,0.3733688,28,2.2504437402259,25.13330233208
ky,2020-05-30,4.13851351,1.3154350000000001,14.203781396712001,0.05667899999999999,0.43557970000000007,240,2.1599226661749,25.099520287761003
la,2020-05-30,3.17460317,1.636927,42.364176115312,0.17746800000000001,0.5441706000000001,775,2.4526736335855,25.550386134252
ma,2020-05-30,5.85967618,7.823588000000001,26.334946326428,0.308382,0.4093852,285,2.7856035771227994,34.715166556378
md,2020-05-30,11.33333333,6.371092,7.4813263852424,0.449812,0.6836975000000001,1027,2.3166550731441005,33.78948793857299
mi,2020-05-30,0.30030029999999996,1.890839,10.690877759578001,0.13761199999999998,0.40175140000000004,223,2.5479185078611,28.675534537589005
ms,2020-05-30,3.27868852,3.009116,0.0,0.275036,0.6817324,436,2.5390898544987004,23.034814448724
nj,2020-05-30,1.07526882,6.36407,14.989249856668,0.8974,0.4942873,764,2.9453705984702006,35.40897830883301
